Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,BO_R,BO_G,BO_B,BO_I
4,175.299,194.095,169.553,179.559,90.726,183.055,204.555,159.581,132.613,204.751,25.702,121.008,214.905,156.431,63.874,145.034,211.886,183.452,26.533,140.639
4,178.392,198.684,176.579,184.598,94.684,191.349,211.293,165.706,130.78,200.923,25.001,119.039,211.704,152.939,62.307,142.415,209.331,181.83,25.422,138.858
4,174.785,195.643,173.573,181.359,90.255,190.321,212.38,164.159,131.246,203.711,24.83,119.906,218.03,159.667,65.545,147.69,208.829,181.693,25.108,138.518
4,178.107,198.206,175.816,183.969,93.815,191.659,212.047,165.743,130.71,203.986,25.142,119.863,218.442,159.156,65.168,147.457,211.952,183.517,26.417,140.623
4,170.171,192.011,169.085,177.169,90.01,190.155,211.99,163.903,130.922,204.231,26.396,120.444,216.644,157.378,64.121,146.016,211.035,182.121,26.344,139.833
4,177.744,196.037,170.483,181.24,88.311,186.926,208.364,161.207,131.148,202.275,25.87,119.825,212.576,153.967,62.511,143.073,217.504,190.183,28.6,145.396
4,171.537,190.623,165.814,175.895,87.519,185.5,207.035,159.953,136.979,208.017,26.284,123.768,218.212,158.968,64.863,147.229,213.469,187.489,26.728,142.525
4,175.159,195.586,172.811,181.105,90.944,197.539,220.528,169.664,134.915,206.79,26.436,122.713,217.182,157.913,64.461,146.469,205.115,177.398,23.657,135.423
4,176.711,193.533,167.42,179.177,88.27,188.208,210.556,162.169,131.277,200.347,26.61,119.517,211.425,153.491,62.682,142.558,213.674,185.505,27.12,142.086
4,178.357,194.776,168.059,180.459,88.977,188.193,209.732,162.196,139.925,214.294,26.902,127.003,214.229,157.979,65.866,146.029,209.765,181.649,25.596,139.011
4,176.247,193.805,168.393,179.386,85.563,192.391,216.891,165.05,129.761,203.725,26.005,119.807,214.401,156.989,65.18,145.589,210.693,183.254,25.848,139.923
4,172.81,194.542,172.634,180.152,94.164,194.527,214.899,167.798,134.332,208.04,26.211,122.758,219.328,160.576,66.817,148.839,212.241,183.851,26.728,140.958
4,173.784,192.62,167.79,177.961,92.37,190.177,210.178,164.147,133.426,207.123,26.186,122.162,221.713,163.027,67.622,150.665,208.135,180.636,24.962,137.905
4,177.141,196.844,174.956,182.863,88.455,190.195,212.555,163.513,135.945,210.455,26.808,124.343,217.732,159.159,65.526,147.436,211.707,183.905,26.21,140.599
4,183.654,201.184,175.502,186.647,91.336,190.113,211.033,164.094,138.349,212.517,25.186,125.293,217.134,158.887,66.069,147.354,206.835,179.185,24.419,136.836
4,178.829,197.215,171.812,182.482,89.955,187.023,208.032,161.566,136.738,212.05,25.886,124.825,213.83,155.228,64.046,144.435,208.908,180.827,25.231,138.317
4,175.608,195.618,173.019,181.365,83.585,194.7,220.819,166.515,129.219,199.516,23.393,117.492,216.327,158.997,66.359,147.27,205.314,177.57,23.88,135.613
4,183.877,203.018,178.368,188.287,88.874,190.451,212.933,163.904,132.782,207.122,25.001,121.556,217.105,159.598,66.94,147.957,206.826,178.941,24.254,136.684
4,177.57,197.974,175.516,183.648,90.104,193.333,215.41,166.11,129.618,199.803,23.564,117.752,214.635,159.038,66.465,146.72,213.129,185.234,26.754,141.707
4,183.361,200.131,174.299,185.902,90.359,188.41,209.431,162.667,132.678,204.723,24.583,120.631,223.579,165.152,69.242,152.554,212.15,184.656,26.5,141.095
4,182.805,201.491,178.139,187.419,88.409,188.192,210.268,162.178,129.488,201.322,25.445,118.752,222.682,164.038,68.479,151.641,216.118,188.121,27.95,144.028
4,184.119,202.13,177.884,187.995,91.995,191.603,212.547,165.324,136.374,208.833,25.734,123.614,217.841,159.475,65.582,147.549,212.849,184.764,26.913,141.496
4,174.942,192.472,166.784,177.99,88.384,190.326,212.741,163.666,128.067,199.113,24.488,117.272,212.912,156.742,65.056,144.92,209.252,181.108,25.338,138.576
4,175.991,195.178,171.681,180.83,97.537,196.729,216.867,170.25,129.597,199.745,24.282,117.99,215.258,157.873,65.73,146.345,207.719,178.981,24.867,137.227
4,176.371,195.949,173.391,181.785,92.069,192.387,213.679,165.926,131.469,202.422,24.81,119.634,215.325,156.431,64.396,145.401,204.818,176.36,23.64,135
4,184.066,201.947,178.431,188.081,90.507,197.803,221.764,170.068,131.625,204.673,24.343,120.122,218.865,160.405,66.521,148.518,217.517,189.821,28.412,145.2
4,170.252,190.039,166.234,175.444,91.468,189.985,211.155,164.128,137.008,210.632,25.655,124.32,217.274,159.103,65.941,147.411,212.261,183.933,26.64,140.937
4,184.407,202.267,176.265,187.491,93.302,191.295,211.788,165.359,131.768,201.545,22.724,118.701,210.51,153.071,62.729,142.062,219.574,191.983,29.24,146.897
4,174.847,194.094,170.265,179.634,91.62,192.413,213.525,165.728,132.274,203.805,26,120.725,212.852,156.377,65.179,144.745,208.215,180.51,24.861,137.877
4,188.342,206.202,181.936,192.094,91.648,190.853,212.121,164.821,134.73,208.79,25.955,123.093,210.332,152.1,62.268,141.622,208.215,180.51,24.861,137.877
4,169.967,188.576,163.632,173.977,95.488,191.42,211.599,166.074,138.883,210.076,28.277,125.779,211.866,154.533,64.09,143.44,203.971,176.487,23.151,134.58
4,180.164,197.941,171.664,183.126,92.68,192.265,213.336,166.051,133.887,203.594,27.458,121.746,223.397,165.372,69.38,152.591,216.164,188.559,27.943,144.196
